अँग्रेज़	̃grēz
इंटरनेशनल	iṇṭrēśl
इंटरनैशनल	iṇṭriśl
इंटरमीडिया	iṇṭrmīḍiyā
इंटरव्यू	iṇṭrvyū
इंट्री	iṇṭrī
इंटरेक्टिव	iṇṭrēṭiv
इंडस्ट्री	iṇḍsṭrī
इंडस्ट्रीज़	iṇḍsṭrīz
इंडिपैंडेंट	iṇḍipiṇḍēṇṭ
इंडियन	iṇḍiy
इंडिया	iṇḍiyā
इंडियाना	iṇḍiyāā
इंडीज़	iṇḍīz
इंडेक्स	iṇḍēs
इंडोनीशिया	iṇḍōīśiyā
इंडोनेशिया	iṇḍōēśiyā
इंडोनेशियाई	iṇḍōēśiyāī
इंतज़ाम	itzām
इंतज़ामों	itzāmō̃
इंतजार	itjār
इंतज़ार	itzār
इंतफ़ादा	itfādā
इंदर	idr
इंद्रजीत	idrjīt
इंद्रासांतो	idrāsātō
इंद्रिय	idriy
इंदिरा	idirā
इंदौर	idur
इंफ़ोकॉम	ĩfōôm
इंफ़ोसिस	ĩfōsis
इंशाअल्लाह	ĩśāllāh
इंशाल्लाह	ĩśāllāh
इंस्टिंक्ट	ĩsṭiṭ
इंस्टिट्यूट	ĩsṭiṭyūṭ
इंस्टीट्यूट	ĩsṭīṭyūṭ
इंसान	ĩsā
इंसानियत	ĩsāiyt
इंसानी	ĩsāī
इंसानों	ĩsāō̃
इंसाफ	ĩsāph
इंसाफ़	ĩsāf
इएबेल्ड	iēbēlḍ
इक्कठा	iṭhā
इक्का	iā
इकट्ठा	iṭṭhā
इकट्ठी	iṭṭhī
इकतीस	itīs
इक़बाल	iqbāl
इक्वान	ivā
इकाई	iāī
इकेतोर	iētōr
इख्लाक	ihlā
इख्लास	ihlās
इगतपुरी	igtpurī
इगलेशिया	iglēśiyā
इग्लैंड	igliṇḍ
इगेलैंड	igēliṇḍ
इच्छा	icchā
इच्छाशक्ति	icchāśti
इच्छुक	icchu
इज़	iz
इज़्ज़त	izzt
इज़्ज़्त	izzt
इज़हार	izhār
इजाज़त	ijāzt
इज़ाफा	izāphā
इज़ीकिएल	izīiēl
इट	iṭ
इटली	iṭlī
इटावा	iṭāvā
इटिंग	iṭig
इत्तला	ittlā
इत्तेफ़ाक	ittēfā
इत्तेफ़ाक़	ittēfāq
इत्तेफ़ाक़न	ittēfāq
इतन	it
इतना	itā
इतनी	itī
इतने	itē
इत्यादि	ityādi
इतरा	itrā
इतहास	ithās
इतालवी	itālvī
इतालियन	itāliy
इतिराजन	itirāj
इतिहास	itihās
इतोर	itōr
इथियोपिया	ithiyōpiyā
इदरीस	idrīs
इधर	idhr
इन	i
इनका	iā
इनकार	iār
इनकी	iī
इनके	iē
इनको	iō
इन्तज़ाम	itzām
इनपर	ipr
इन्फ़ोकॉम	ifōôm
इन्फोसिस	iphōsis
इन्फ़ोसिस	ifōsis
इनमें	imē̃
इन्स्टिट्यूट	isṭiṭyūṭ
इनसाइड	isāiḍ
इनसान	isā
इन्सान	isā
इन्सानियत	isāiyt
इनसानी	isāī
इन्सानी	isāī
इनसानों	isāō̃
इन्सानों	isāō̃
इन्साफ़	isāf
इनसे	isē
इन्ही	ihī
इन्हीं	ihī̃
इन्हे	ihē
इन्हें	ihē̃
इन्होंने	ihōē
इनाम	iām
इनामुल	iāmul
इप्टा	ipṭā
इब्राहिम	ibrāhim
इब्राहीम	ibrāhīm
इबादत	ibādt
इबु	ibu
इम्तिहान	imtihā
इम्पीरियल	impīriyl
इमरजेंसी	imrjē̃sī
इमर्जेंसी	imrjē̃sī
इमरान	imrā
इमाम	imām
इमामगंज	imāmgñj
इमामबाड़े	imāmbāṛē
इमारत	imārt
इमारतें	imārtē̃
इमारतों	imārtō̃
इमें	imē̃
इमेज	imēj
इयन	iy
इयाद	iyād
इयान	iyā
इर्द	ird
इर्दगिर्द	irdgird
इरफान	irphā
इरफ़ान	irfā
इरविन	irvi
इरशाद	irśād
इराक	irā
इराक़	irāq
इराक्ली	irālī
इराक़ियों	irāqiyō̃
इराकी	irāī
इराक़ी	irāqī
इरादा	irādā
इरादे	irādē
इरादों	irādō̃
इरानी	irāī
इरिक्सन	iris
इरेक्टस	irēṭs
इल्फ़र्ड	ilfrḍ
इल्हाम	ilhām
इलाक़	ilāq
इलाक़ा	ilāqā
इलाके	ilāē
इलाक़े	ilāqē
इलाक़ो	ilāqō
इलाकों	ilāō̃
इलाक़ों	ilāqō̃
इलाज	ilāj
इलाज़	ilāz
इलाहाबाद	ilāhābād
इलाही	ilāhī
इलियास	iliyās
इली	ilī
इलेक्ट्रानिक	ilēṭrāi
इलेक्ट्रिक	ilēṭri
इलेक्ट्रॉनिक	ilēṭrôi
इलेक्ट्रोड्स	ilēṭrōḍs
इलेक्ट्रोलाइट	ilēṭrōlāiṭ
इलेक्टोरल	ilēṭōrl
इलेवन	ilēv
इलैक्ट्रॉनिक	iliṭrôi
इवान	ivā
इश्क	iś
इश्क़	iśq
इश्तहार	iśthār
इश्तिहार	iśtihār
इशा	iśā
इशारा	iśārā
इशारे	iśārē
इशारों	iśārō̃
इष्टदेव	iṣṭdēv
इस	is
इसका	isā
इसकी	isī
इसके	isē
इसकें	isē̃
इसको	isō
इसतरह	istrh
इस्तांबूल	istāmbūl
इस्तीफ़ा	istīfā
इस्तीफ़े	istīfē
इस्तेमार	istēmār
इस्तेमाल	istēmāl
इसने	isē
इसपर	ispr
इस्पात	ispāt
इस्फ़हान	isfhā
इस्मत	ismt
इस्माइल	ismāil
इसमे	ismē
इसमें	ismē̃
इसराइल	isrāil
इसराइलियों	isrāiliyō̃
इसराइली	isrāilī
इसरायल	isrāyl
इसरार	isrār
इसरो	isrō
इस्लाम	islām
इस्लामाबाद	islāmābād
इस्लामिक	islāmi
इस्लामिया	islāmiyā
इस्लामी	islāmī
इसलिए	isliē
इसलिये	isliyē
इससे	issē
इसाईयत	isāīyt
इसाक	isā
इसाक्स	isās
इसिग्वे	isigvē
इसी	isī
इसीलिए	isīliē
इसे	isē
ईंधन	īdh
ईएच	īēc
ईएनटी	īēṭī
ईजाद	ījād
ईटन	īṭ
ईटर्स	īṭrs
ईद	īd
ईदुज़्ज़ुहा	īduzzuhā
ईनाम	īām
ईफिल	īphil
ईबे	ībē
ईमान	īmā
ईमानदार	īmādār
ईमानदारी	īmādārī
ईमानादार	īmāādār
ईमानुलहक़	īmāulhq
ईमेल	īmēl
ईमेलएड्रेस	īmēlēḍrēs
ईमेलों	īmēlō̃
ईयर	īyr
ईयाद	īyād
ईर्द	īrd
ईर्ष्या	īrṣyā
ईर्षा	īrṣā
ईरान	īrā
ईरानी	īrāī
ईलम	īlm
ईलाम	īlām
ईवर्स	īvrs
ईश्वर	īśvr
ईशा	īśā
ईस्ट	īsṭ
ईस्टवुड	īsṭvuḍ
ईस्वी	īsvī
ईसा	īsā
ईसाई	īsāī
ईसाईयों	īsāīyō̃
उँगलियों	ũgliyō̃
उँगली	ũglī
उँची	ũcī
उंगलियों	ugliyō̃
उंगली	uglī
उक्ति	uti
उक्रेन	urē
उकसाया	usāyā
उकेरी	uērī
उकेरे	uērē
उखड	uhḍ
उग	ug
उगने	ugē
उग्रवाद	ugrvād
उग्रवादियों	ugrvādiyō̃
उग्रवादी	ugrvādī
उगलने	uglē
उगलवा	uglvā
उगाने	ugāē
उच्च	ucc
उच्चतम	ucctm
उच्चवर्गीय	uccvrgīy
उच्चस्तरीय	uccstrīy
उच्चायोग	uccāyōg
उच्चारण	uccārṇ
उचित	ucit
उछले	uchlē
उछाल	uchāl
उछालती	uchāltī
उछालने	uchālē
उछाला	uchālā
उजड़े	ujṛē
उजागर	ujāgr
उजाले	ujālē
उठ	uṭh
उठकर	uṭhr
उठता	uṭhtā
उठती	uṭhtī
उठते	uṭhtē
उठना	uṭhā
उठनी	uṭhī
उठने	uṭhē
उठा	uṭhā
उठाइए	uṭhāiē
उठाई	uṭhāī
उठाए	uṭhāē
उठाएगा	uṭhāēgā
उठाएगी	uṭhāēgī
उठाकर	uṭhār
उठाता	uṭhātā
उठाती	uṭhātī
उठाते	uṭhātē
उठाना	uṭhāā
उठानी	uṭhāī
उठाने	uṭhāē
उठापटक	uṭhāpṭ
उठाया	uṭhāyā
उठाये	uṭhāyē
उठी	uṭhī
उठीं	uṭhī̃
उठे	uṭhē
उठेगा	uṭhēgā
उड़	uṛ
उड़कर	uṛr
उड़ता	uṛtā
उड़ते	uṛtē
उड़नपरी	uṛprī
उड़ने	uṛē
उड़ा	uṛā
उड़ाए	uṛāē
उड़ाते	uṛātē
उड़ान	uṛā
उड़ाने	uṛāē
उड़ाया	uṛāyā
उड़ी	uṛī
उड़ीसा	uṛīsā
उड़े	uṛē
उड़ेंगे	uṛēgē
उत्कृष्ट	utṛṣṭ
उत्कृष्टता	utṛṣṭtā
उतकों	utō̃
उत्तम	uttm
उत्तर	uttr
उत्तरदायित्व	uttrdāyitv
उत्तरदायी	uttrdāyī
उत्तरप्रदेश	uttrprdēś
उत्तराँचल	uttrā̃cl
उत्तरांचल	uttrāñcl
उत्तरादि	uttrādi
उत्तराधिकारी	uttrādhiārī
उत्तरी	uttrī
उत्तेजना	uttējā
उत्तेजित	uttējit
उत्थान	utthā
उतना	utā
उतनी	utī
उतने	utē
उत्पन्न	utp
उत्पल	utpl
उत्पाद	utpād
उत्पादक	utpād
उत्पादकों	utpādō̃
उत्पादन	utpād
उत्पादों	utpādō̃
उतर	utr
उतरता	utrtā
उतरते	utrtē
उतरना	utrā
उतरने	utrē
उतरवा	utrvā
उतरवाए	utrvāē
उतरवाने	utrvāē
उतरा	utrā
उतराते	utrātē
उतरी	utrī
उतरीं	utrī̃
उतरे	utrē
उतरें	utrē̃
उतरेंगे	utrēgē
उतरेगा	utrēgā
उत्सव	utsv
उत्साह	utsāh
उत्साहजनक	utsāhj
उत्साहवर्द्धक	utsāhvrddh
उत्साहित	utsāhit
उत्सुकता	utsutā
उतार	utār
उतारता	utārtā
उतारना	utārā
उतारने	utārē
उतारा	utārā
उतारी	utārī
उतारे	utārē
उतारेंगे	utārēgē
उतावले	utāvlē
उथल	uthl
उथलपुथल	uthlputhl
उथले	uthlē
उदघाटन	udghāṭ
उद्देश्य	uddēśy
उद्देश्यीय	uddēśyīy
उद्देश्यों	uddēśyō̃
उद्धव	uddhv
उदय	udy
उदयन	udy
उदयपुर	udypur
उद्यमी	udymī
उद्योग	udyōg
उद्योगपति	udyōgpti
उद्योगपतियों	udyōgptiyō̃
उदार	udār
उदारवादी	udārvādī
उदास	udās
उदासीन	udāsī
उदासीनता	udāsītā
उदाहरण	udāhrṇ
उदाहरणों	udāhrṇō̃
उदित	udit
उदेश्यों	udēśyō̃
उधर	udhr
उन	u
उनका	uā
उनकी	uī
उनके	uē
उनको	uō
उन्नत	ut
उन्नति	uti
उन्नाव	uāv
उन्नीस	uīs
उन्नीसवीं	uīsvī̃
उनपर	upr
उन्मूलन	umūl
उनमें	umē̃
उनसे	usē
उन्ही	uhī
उन्हीं	uhī̃
उन्हे	uhē
उन्हें	uhē̃
उनहोंने	uhōē
उन्होंने	uhōē
उन्होने	uhōē
उन्होनें	uhōē̃
उनासाउरस	uāsāurs
उप	up
उपकप्तान	upptā
उपकरण	uprṇ
उपकरणों	uprṇō̃
उपग्रह	upgrh
उपग्रहों	upgrhō̃
